id,study_group,new_group,sex,age,race,educ,ethnic,Video,Position,Rating,ReactionTime,SelectionTime,Video_sex,Video_race,conte_mean_all,conte_mean_short
08797c9a,4,2,1,34,2,12,2,Video_1085,11,0,10219,17997,0,2,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_007,34,30,1717,23997,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_025,23,-120,494,11665,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_027_,2,60,6780,43328,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_028,42,-120,4108,12332,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_030,43,0,240,10499,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_034,29,60,4622,13832,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_044,26,90,3597,9832,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_048,51,270,2107,14664,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_049,3,330,4188,54993,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_051,7,-30,5627,12332,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2001,37,30,3513,13498,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2002,45,120,6715,15664,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2004,15,150,6195,15998,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2006,1,420,6598,82323,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2008,61,90,2128,8332,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2009,4,30,10804,30663,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2010,47,-30,7606,16997,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2013,14,-30,9566,36828,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2015,53,0,8493,16331,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2016,31,60,3331,11332,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2017,16,120,8747,32496,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2018,19,0,39962,79157,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2019,8,0,9180,27330,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2020,28,120,10551,16831,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2021,32,210,3143,14831,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2022,57,30,2680,12998,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2023,50,-60,5392,10499,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2024,56,30,9950,36162,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2025,9,0,52990,62659,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2026,30,-210,287,7333,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2029,62,270,582,22164,,,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_Fractal_2030,39,90,4884,13331,,,3.5,3.833333333
a6a04d46,4,2,1,34,2,12,2,Video_1002,4,270,2316,15832,1,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1003,29,270,2471,14498,1,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1005,30,270,2820,22831,0,0,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1010,2,120,3738,20830,1,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1011,21,240,2942,14165,0,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1015,51,150,2612,10499,0,0,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1019,27,240,2583,14998,0,2,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1021,25,270,2663,18498,1,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1023,52,120,2015,9998,0,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1026,54,180,3038,12998,0,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1029,60,180,7122,25164,1,0,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1031,58,150,2664,12831,0,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1032,1,120,16164,53493,0,0,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1033,33,240,2812,12999,0,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1038,15,240,5462,22830,0,0,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1043,45,240,3425,17998,1,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1045,59,120,1647,12166,0,0,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1046,44,210,3668,19498,1,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1047,38,270,2280,14998,1,0,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1052,9,180,2206,12665,1,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1053,20,180,2546,13331,1,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1060,40,60,3357,11665,1,0,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1068,18,180,3377,16164,0,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1069,35,210,4045,19164,0,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1073,8,210,2790,13331,1,0,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1074,16,300,2892,21497,1,0,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1076,11,-240,2998,21164,1,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1078,10,390,3428,22497,1,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1079,28,240,2432,12998,1,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1080,53,150,2892,14165,0,0,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1082,62,300,5826,35495,1,1,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_1085,26,330,2292,26329,0,2,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_007,50,180,2627,12332,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_025,43,210,3777,18164,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_027_,17,120,4586,34329,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_028,34,180,5345,16498,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_030,36,270,3779,17998,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_034,31,-60,7970,12832,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_044,3,300,3579,18998,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_048,61,180,3194,17665,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_049,32,240,3686,14832,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_051,56,150,286,13998,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2001,37,210,3180,13165,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2002,7,-60,4417,20497,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2004,13,180,2820,13831,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2006,42,120,5077,15664,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2008,48,180,2909,13999,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2009,64,120,3485,12332,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2010,5,150,5381,17664,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2013,12,-150,2492,10998,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2015,47,210,89,12498,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2016,24,-120,8058,31495,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2017,14,180,3057,15665,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2018,46,210,6425,19664,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2019,6,210,6208,18497,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2020,22,210,4401,15165,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2021,57,120,3932,14165,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2022,39,240,4307,17998,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2023,55,120,5593,14998,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2024,41,30,5092,9499,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2025,49,150,3845,14332,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2026,19,210,5162,17165,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2029,23,180,4142,14831,,,3.375,4
a6a04d46,4,2,1,34,2,12,2,Video_Fractal_2030,63,-210,6261,17165,,,3.375,4
31bbbe06,6,3,2,33,2,16,2,Video_1002,57,60,5584,11665,1,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1003,14,30,5494,13665,1,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1005,41,60,4936,15998,0,0,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1010,37,90,7441,32662,1,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1011,25,60,6802,14831,0,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1015,4,30,5277,12332,0,0,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1019,1,30,27174,63492,0,2,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1021,6,60,6012,16498,1,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1023,12,0,9022,11999,0,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1026,26,90,8617,26997,0,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1029,39,90,7956,27163,1,0,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1031,61,60,5006,12665,0,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1032,20,60,4615,16331,0,0,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1033,38,60,6696,17831,0,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1038,13,30,9256,47160,0,0,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1043,49,60,7995,37662,1,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1045,10,60,7313,18331,0,0,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1046,55,90,7566,22997,1,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1047,23,60,7144,14332,1,0,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1052,27,60,7554,16831,1,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1053,2,90,9291,29329,1,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1060,21,60,8068,18998,1,0,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1068,16,60,8311,14998,0,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1069,51,90,5814,20831,0,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1073,29,60,2717,11498,1,0,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1074,18,60,4197,12165,1,0,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1076,43,60,9071,18498,1,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1078,35,60,7909,18497,1,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1079,50,60,5700,13165,1,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1080,8,60,5361,14165,0,0,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1082,53,60,12626,23830,1,1,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_1085,42,90,6555,16498,0,2,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_007,47,60,7069,16831,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_025,48,60,6782,15165,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_027_,60,90,8778,19164,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_028,45,60,5614,12999,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_030,31,60,6824,32829,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_034,9,60,5541,11832,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_044,44,60,7635,15165,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_048,34,60,7034,15832,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_049,46,60,7121,15332,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_051,3,30,5045,11665,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2001,32,60,5999,15498,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2002,19,60,6192,13999,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2004,28,30,4480,10832,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2006,58,90,7116,15831,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2008,40,60,6410,17331,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2009,59,60,7482,13164,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2010,63,60,4896,12498,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2013,30,60,7624,19997,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2015,11,0,4379,10332,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2016,36,60,6667,12998,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2017,62,60,6914,13332,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2018,15,60,9065,16164,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2019,7,60,6037,12498,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2020,5,30,6089,24163,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2021,17,60,9404,21497,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2022,52,60,6427,14498,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2023,33,60,5284,12998,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2024,56,90,8167,16165,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2025,24,60,7021,14832,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2026,22,60,5373,18165,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2029,54,60,7440,14331,,,3.75,3.833333333
31bbbe06,6,3,2,33,2,16,2,Video_Fractal_2030,64,60,5882,13498,,,3.75,3.833333333
256e516d,4,2,1,34,2,20,2,Video_1002,53,180,2667,15498,1,1,2.75,2.833333333
256e516d,4,2,1,34,2,20,2,Video_1003,14,90,3910,33496,1,1,2.75,2.833333333
256e516d,4,2,1,34,2,20,2,Video_1005,57,270,3537,20498,0,0,2.75,2.833333333
256e516d,4,2,1,34,2,20,2,Video_1010,28,60,5119,38496,1,1,2.75,2.833333333
256e516d,4,2,1,34,2,20,2,Video_1011,43,180,20644,38495,0,1,2.75,2.833333333
256e516d,4,2,1,34,2,20,2,Video_1015,37,150,3326,18497,0,0,2.75,2.833333333
